"Application Name","Publisher","App Type","Enabled","Signed Last 30 Days","Roles - User Count","Roles - Group Count","Roles - App Count","Admin Consent","Admin Consented To","Users Consented","Users Consented To","App Permissions Assigned","App Permissions Assigned To","Longest Consent Valid Until","ApplicationId","Service Principal ObjectId","Homepage","ReplyURLs","Tags"
"Yammer","Ratchev","AAD App Gallery","True","False","0","0","0","N/A","","0","","N/A",,,"deb8e141-fd57-4a7c-8398-482c828bd120","43fbe817-e9e9-4386-a92f-0ece682f2eae","https://127.0.0.1:444/applications/default.aspx?metadata=yammer|ISV9.3|primary|z","[https://127.0.0.1:444/applications/default.aspx]","[45a5c24a-83ac-4d38-8028-6006f5c07fef][WindowsAzureActiveDirectoryGalleryApplicationPrimaryV1][WindowsAzureActiveDirectoryIntegratedApp]"
"Ivan Desktop App","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","Microsoft Graph","N/A",,"10/9/2019 6:13:11 PM","ceb1f44e-c619-4288-9ef4-6318c6d24af0","45472c0f-2597-494c-a284-798780a600b2",,"[urn:ietf:wg:oauth:2.0:oob]","[WindowsAzureActiveDirectoryIntegratedApp]"
"AD FS 2016","Ratchev","AAD Integrated","True","False","1","0","0","N/A","","0","","N/A",,,"16e3f7b8-6546-41bc-9bf3-030e20316005","464b9d3f-48df-4a5b-bc07-3357fafd85a0","https://adfs.iviratchev.com/adfs/ls","[https://adfs.iviratchev.com/adfs/ls]","[WindowsAzureActiveDirectoryIntegratedApp]"
"AKAADServer","IVIRatchev","OIDC/oAuth2.0","True","False","1","0","0","True","Microsoft Graph","0","","True","Microsoft Graph","9/23/2019 10:41:05 PM","47d799e4-9f94-4c5a-a6f1-bc53776ddecc","487400f3-cf2e-45ee-bcb5-1e379365e86d","http://AKSAADServer","[http://AKSAADServer]","[WindowsAzureActiveDirectoryIntegratedApp]"
"mfa app","Ratchev","AAD App Proxy","True","False","0","0","0","N/A","","0","","N/A",,,"3c238ff4-1fc0-4fce-9edd-352274dc26ff","4d9b41b8-e6bb-4947-822c-f170753468d9","https://mfaapp.iviratchev.com/mfa/","[https://mfaapp.iviratchev.com/mfa/][https://127.0.0.1:444/applications/default.aspx]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"TodoListSPA-OBO-CA","IVIRatchev","OIDC/oAuth2.0","True","True","1","0","0","False","","1","TodoListService-OBO-CA","N/A",,"10/8/2019 3:50:17 PM","f80ce29e-a14d-4d66-bbbf-00f96494e1bf","59df163b-7ec5-48ca-923f-3cc55b33b08b","http://localhost:16969/","[http://localhost:16969/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Postmantest","IVIRatchev","AAD Integrated","True","True","1","0","0","N/A","","0","","True","Microsoft Graph",,"8e6161d7-6491-4daa-8b4a-26997019b6c0","5cd73a08-3ddb-47e1-bd6f-88125ab8e4aa","https://www.getpostman.com","[https://localhost:44350/][https://www.getpostman.com/oauth2/callback]","[WindowsAzureActiveDirectoryIntegratedApp]"
"somenewfunkyapp","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"ea966cde-443b-4bd1-8393-d331428450ce","5d4284cd-d727-405f-8af9-c09bb224f31b","https://somenewfuncky.com","[https://somenewfuncky.com]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Azure AD Power BI Content Pack App","Microsoft","OIDC/oAuth2.0","True","False","1","0","0","False","","1","Windows Azure Active Directory;Microsoft Graph","True","Windows Azure Active Directory;Microsoft Graph","12/1/2018 3:57:20 PM","2a0c3efa-ba54-4e55-bdc0-770f9e39e9ee","63cef4d4-c09b-4dc6-92b6-65efb0222647","https://msit.powerbi.com/","[https://msit.powerbi.com/][https://preview.powerbi.com/views/oauthredirect.html]","[WindowsAzureActiveDirectoryIntegratedApp]"
"fff","IVIRatchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"753a7694-3697-4d42-bc37-e9b6fc36b7d0","6cd0e01f-6ca7-49d5-9c9e-f707bc905bcc","http://test","[http://test]","[WindowsAzureActiveDirectoryIntegratedApp]"
"Graph explorer","Microsoft","OIDC/oAuth2.0","True","True","4","0","0","False","","4","Microsoft Graph","N/A",,"9/28/2019 4:39:43 PM","de8bc8b5-d9f9-48b1-a8ad-b748da725064","73fb3a73-4c34-4713-b9af-418daf8fbccd","https://developer.microsoft.com/en-us/graph/graph-explorer","[https://developer.microsoft.com/zh-cn/graph/graph-explorer/][https://developer.microsoft.com/zh-cn/graph/graph-explorer][https://developer.microsoft.com/de-de/graph/graph-explorer/][https://developer.microsoft.com/de-de/graph/graph-explorer][https://developer.microsoft.com/ja-jp/graph/graph-explorer/][https://developer.microsoft.com/ja-jp/graph/graph-explorer][https://developer.microsoft.com/es-es/graph/graph-explorer/][https://developer.microsoft.com/es-es/graph/graph-explorer][https://developer.microsoft.com/fr-fr/graph/graph-explorer/][https://developer.microsoft.com/pt-br/graph/graph-explorer][https://developer.microsoft.com/pt-br/graph/graph-explorer/][https://developer.microsoft.com/ru-ru/graph/graph-explorer][https://developer.microsoft.com/ru-ru/graph/graph-explorer/][https://developer.microsoft.com/en-us/graph/graph-explorer/][https://developer.microsoft.com/en-us/graph/graph-explorer][https://developer.microsoft.com/fr-fr/graph/graph-explorer]","[WindowsAzureActiveDirectoryIntegratedApp]"
"IvanWebApp1","Ratchev","OIDC/oAuth2.0","True","False","2","0","0","True","Office 365 SharePoint Online;Microsoft Graph","1","Windows Azure Active Directory;Microsoft Graph","True","Microsoft Graph","5/16/2019 5:46:48 AM","d7ed9f01-b354-4e05-9cb3-1a747840169d","75775809-34a0-45a1-a822-e59799c1e198","https://localhost:44398/","[https://localhost:44398/]","[WindowsAzureActiveDirectoryIntegratedApp]"
"X Ray ADFS","IVIRatchev","AAD App 3d Party + SSO","True","False","0","0","0","N/A","","0","","N/A",,,"df6da592-4625-46db-b0fd-a98eb70b1b0f","77a08a63-6008-4d55-bfff-fbbbe9b96c37","https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z","[https://adfshelp.microsoft.com/ClaimsXray/TokenResponse]","[8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"myspnapp","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"ba164d3a-b3bd-43c6-9f20-deb2eb556534","79e2bcb5-1864-4e0d-9ae5-b547a81d42ff","https://usedtorunstuff","[https://usedtorunstuff]","[WindowsAzureActiveDirectoryIntegratedApp]"
"TEst API Admin consent","IVIRatchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"007e130c-57fd-4f39-a17c-2da7df1aa238","7b17ae74-62ce-4bbc-a1e1-ba33eedac7ac",,"[https://Ivan]","[WindowsAzureActiveDirectoryIntegratedApp]"
"AppcreatedbyanAPP admin - passthrough","IVIRatchev","AAD App Proxy","True","False","0","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","fd32e851-3809-49ed-b6d8-7b00016e09af","7d800d52-b429-409e-8292-9f5caa809180","https://appcreatedbyanappadmin-adrianlabs.msappproxy.net/","[https://appcreatedbyanappadmin-adrianlabs.msappproxy.net/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"ivantestwithpreauth","IVIRatchev","AAD App Proxy","True","False","0","0","0","True","Windows Azure Active Directory","0","","N/A",,"1/1/2099 12:00:00 AM","263ca965-f0a9-4fa0-9a0d-583e738bef62","80928e6f-5ee4-4c17-80f6-75a923186d9e","https://ivan-adrianlabs.msappproxy.net/","[https://ivan-adrianlabs.msappproxy.net/]","[WindowsAzureActiveDirectoryOnPremApp][8adf8e6e-67b2-4cf2-a259-e3dc5476c621][WindowsAzureActiveDirectoryGalleryApplicationNonPrimaryV1][WindowsAzureActiveDirectoryCustomSingleSignOnApplication][WindowsAzureActiveDirectoryIntegratedApp]"
"blobiblo","Ratchev","AAD Integrated","True","False","0","0","0","N/A","","0","","N/A",,,"2fafacb3-d85d-4e9b-bf70-5fb3a1baf71c","848abb13-4171-47de-9fd4-498f286921b6",,"[https://goreglavata]","[WindowsAzureActiveDirectoryIntegratedApp]"
